Run time in miliseconds,Input size

RANDOM DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,5.1415,3.5798,1.4922,47.5146,40.0233,0.8534,1.2971,1.4262,0.8502,0.1865,1.0671,0.2386
3000,12.5703,8.381,7.0732,274.778,208.588,4.6013,3.1019,2.6957,1.8095,0.3284,2.6794,0.5352
10000,143.134,77.5378,74.3247,2579.79,2190.19,55.8971,11.9423,9.1198,6.6022,1.3226,12.4026,1.9984
30000,1262.67,644.48,426.94,21617.1,20265.8,513.452,40.5129,27.5472,25.4593,5.0159,35.3129,5.2206
100000,13971.3,7075.2,4675.11,239659,221094,6225.04,154.327,90.0625,75.8734,11.7622,112.623,18.4791

SORTED DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.5889,0.0061,0.1067,1.7389,0.0041,0.0575,1.1196,1.2084,0.7072,0.1758,0.7778,0.232
3000,13.5055,0.0174,0.3641,14.4035,0.0117,0.2684,3.3646,3.425,2.2174,0.5964,3.257,0.7136
10000,141.868,0.0828,0.8686,152.696,0.0307,0.7769,12.4276,8.4544,4.8661,1.2324,10.4282,2.013
30000,1253.39,0.1378,2.8294,1351.88,0.0896,1.9065,48.669,27.3987,12.8053,3.9485,34.758,5.663
100000,13897.6,0.4075,10.3764,15051,0.3238,7.3742,156.866,81.6049,40.0644,12.9385,117.739,18.1

NEARLY SORTED DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.6942,0.0509,0.1495,2.6715,1.0911,0.1471,1.118,1.1788,0.3414,0.1198,0.8676,0.2901
3000,13.2449,0.1103,0.3696,16.6245,2.1131,0.3106,3.5951,3.0684,1.4186,0.4653,3.1651,0.5563
10000,142.407,0.251,1.1908,158.47,5.5567,0.9299,13.1644,8.3883,3.8688,1.3545,11.0331,2.3245
30000,1251.34,0.5226,3.1258,1374.28,13.415,2.4138,43.9236,24.1157,13.1753,3.5418,33.9918,4.9932
100000,13883.4,1.0608,10.8549,14983.8,21.3245,8.432,152.351,81.0114,50.1827,11.6706,114.717,17.558

REVERSE DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.8197,1.5699,1.311,43.5045,41.3684,1.5219,1.1184,0.8098,0.8297,0.2606,0.9304,0.2515
3000,13.6664,13.0566,8.7589,385.414,367.667,8.3194,3.1275,2.6227,1.7744,0.6341,3.2713,0.7446
10000,141.458,141.946,92.9381,4272.96,4076.64,87.9168,11.8273,9.416,4.8192,1.4014,9.8675,2.2896
30000,1260.77,1254.77,824.086,38416.4,37219.8,886.072,38.4097,24.377,14.057,3.6341,35.3072,5.7138
