Run time in miliseconds,Input size,,,,,,,,,,,
,,,,,,,,,,,,
RANDOM DATA,,,,,,,,,,,,
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,0.8213,0.2325,0.3378,1.2405,0.8888,0.0849,0.0929,0.3659,0.0731,0.0271,0.0756,0.0459
3000,7.3174,2.4777,1.1511,9.3682,8.9652,0.3089,0.2084,0.8718,0.2197,0.0655,0.163,0.1278
10000,71.9221,16.0447,13.8206,165.928,122.326,1.3724,0.9053,6.446,0.923,0.2712,1.1428,0.5026
30000,636.061,180.484,91.1264,1479.16,1024.04,3.7365,3.2523,10.9703,2.6599,1.1138,2.1939,1.513
100000,5145.51,1224.12,972.79,17083.4,11417.9,14.587,9.8317,29.2912,8.5591,2.4773,11.1167,4.6826
,,,,,,,,,,,,
SORTED DATA,,,,,,,,,,,,
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,0.585,0.0028,0.0297,0.5961,0.0019,0.023,0.1189,0.4022,0.0121,0.024,0.0685,0.0402
3000,5.1629,0.0067,0.1007,3.2492,0.0023,0.0859,0.192,0.8828,0.0405,0.0687,0.3807,0.1267
10000,52.4559,0.0511,0.4005,39.4076,0.0147,0.3878,0.6753,2.0327,0.1944,0.2056,2.2567,0.4824
30000,463.082,0.0715,1.4917,317.299,0.069,1.1669,1.8323,6.466,0.4433,0.5022,2.4395,1.0448
100000,5116.87,0.2709,5.4644,3540.63,0.1531,4.1227,7.5729,21.5917,1.2673,1.3625,7.4597,3.0797
,,,,,,,,,,,,
NEARLY SORTED DATA,,,,,,,,,,,,
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,0.7299,0.0073,0.036,0.9204,0.0129,0.0569,0.0671,0.4419,0.0151,0.0439,0.0884,0.0346
3000,4.7826,0.0234,0.1489,4.724,0.0382,0.1785,0.2395,0.8396,0.0515,0.0756,0.3645,0.1402
10000,51.3325,0.0943,0.5168,37.7043,0.138,0.4847,0.6984,2.2173,0.1812,0.2227,0.92,0.4054
30000,456.901,0.2479,1.6343,320.585,0.4417,1.4317,1.7848,6.3869,0.5783,0.5441,2.8398,1.065
100000,5116.62,0.4444,5.5588,3512.72,0.6135,4.0583,5.6863,20.9738,2.1118,1.5889,6.919,2.9484
,,,,,,,,,,,,
REVERSE DATA,,,,,,,,,,,,
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,0.6895,0.3127,0.3389,0.8166,0.795,0.0317,0.0519,0.3743,0.0207,0.0201,0.0644,0.043
3000,5.2601,2.5165,2.0058,7.5236,7.2532,0.1574,0.1483,0.828,0.064,0.0795,0.2467,0.1354
10000,51.1983,30.7728,19.331,79.4979,80.1012,0.37,0.7458,2.2917,0.2339,0.1945,0.8489,0.3718
30000,461.653,218.769,173.625,714.38,716.762,1.3617,1.8575,5.9323,0.4865,0.4509,2.1577,0.933
100000,5113.67,2484.42,1987.9,7934.97,7918.73,5.6682,7.9786,24.9615,2.146,1.9236,7.2617,3.4739
